global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
1,Settembre,1,1,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1592.1
2,Settembre,1,1,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1722.6
3,Settembre,1,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1466.1
4,Settembre,1,1,4,D4,0,[],[],0,{},0,0,0,1.0,1,1,0,1610.2
5,Settembre,1,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1642.1
6,Settembre,1,2,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1605.3
7,Settembre,1,2,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1790.6
8,Settembre,1,2,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1414.9
9,Settembre,1,2,4,D4,0,[],[],0,{},0,0,0,1.6,0,1,0,1622.7
10,Settembre,1,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1640.3
11,Settembre,1,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,2,0,1601.1
12,Settembre,1,3,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,1,1707.6
13,Settembre,1,3,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1503.7
14,Settembre,1,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1615.7
15,Settembre,1,3,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1626.6
16,Settembre,1,4,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1612.8
17,Settembre,1,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1694.6
18,Settembre,1,4,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1485.2
19,Settembre,1,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1599.9
20,Settembre,1,4,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1627.4
21,Settembre,1,5,1,D1,0,[],[],0,{},0,0,0,2.0,0,0,0,1589.8
22,Settembre,1,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1711.9
23,Settembre,1,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1458.8
24,Settembre,1,5,4,D4,0,[],[],0,{},0,0,0,1.6,0,1,1,1560.0
25,Settembre,1,5,5,D5,0,[],[],0,{},0,0,0,1.0,1,1,0,1631.4
26,Settembre,1,6,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1613.5
27,Settembre,1,6,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1722.6
28,Settembre,1,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1491.5
29,Settembre,1,6,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1620.7
30,Settembre,1,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1626.2
31,Ottobre,2,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1634.5
32,Ottobre,2,1,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1718.4
33,Ottobre,2,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1460.3
34,Ottobre,2,1,4,D4,0,[],[],0,{},0,0,0,2.0,1,1,0,1637.2
35,Ottobre,2,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1616.4
36,Ottobre,2,2,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1641.1
37,Ottobre,2,2,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1710.7
38,Ottobre,2,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1425.2
39,Ottobre,2,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1583.5
40,Ottobre,2,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1625.9
41,Ottobre,2,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1613.9
42,Ottobre,2,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1727.1
43,Ottobre,2,3,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1440.4
44,Ottobre,2,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1611.4
45,Ottobre,2,3,5,D5,0,[],[],0,{},0,0,0,1.6,0,1,1,1657.2
46,Ottobre,2,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1537.2
47,Ottobre,2,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1699.8
48,Ottobre,2,4,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1411.0
49,Ottobre,2,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1601.5
50,Ottobre,2,4,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1617.0
51,Ottobre,2,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1624.1
52,Ottobre,2,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1754.9
53,Ottobre,2,5,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1497.7
54,Ottobre,2,5,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1645.0
55,Ottobre,2,5,5,D5,0,[],[],0,{},0,0,0,0.0,1,2,0,1637.7
56,Ottobre,2,6,1,D1,0,[],[],0,{},0,0,0,1.0,0,0,0,1638.9
57,Ottobre,2,6,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1707.8
58,Ottobre,2,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1463.8
59,Ottobre,2,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1606.2
60,Ottobre,2,6,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1593.4
61,Novembre,3,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1613.8
62,Novembre,3,1,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1719.1
63,Novembre,3,1,3,D3,0,[],[],0,{},0,0,0,1.6,0,0,0,1442.2
64,Novembre,3,1,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1615.1
65,Novembre,3,1,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,0,1625.8
